podcast_name,podcast_id,rss_url,feed_name,validation_status,requested_count,actual_count,future,transcript_only,category,apple_id,match_score
Political Gabfest,94535764c1ee,https://feeds.megaphone.fm/slatespoliticalgabfest,Political Gabfest,MATCHED,4,PENDING,True,True,News & Politics,158004641,100
The NPR Politics Podcast,f389e89833e1,https://feeds.npr.org/510310/podcast.xml,The NPR Politics Podcast,MATCHED,2,PENDING,True,True,News & Politics,1057255460,100
"Today, Explained",cdbbe7db79e6,https://feeds.megaphone.fm/VMP5705694065,"Today, Explained",MATCHED,1,PENDING,True,True,News & Politics,1346207297,100
ACQ2 by Acquired,11467686770d,https://feeds.transistor.fm/acq2,ACQ2 by Acquired,MATCHED,1000,PENDING,True,False,Tech & Business,1597212401,100
Accidental Tech Podcast,7bee0bb743bc,https://cdn.atp.fm/rss/public?wtvryzdm,Accidental Tech Podcast,MATCHED,10,PENDING,True,False,Tech & Business,617416468,100
Acquired,cc1596e41223,https://feeds.transistor.fm/acquired,Acquired,MATCHED,1000,PENDING,True,False,Recommended High-Value,1050462261,100
Against the Rules with Michael Lewis,7f0d21f7600c,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/f4e26994-3ddb-4ec7-b855-ae32006cd5de/ea4fae0c-3282-4cfd-b315-ae32006cd5ec/podcast.rss,Against the Rules with Michael Lewis,MATCHED,100,PENDING,True,True,Tech & Business,1455379351,100
Decoder with Nilay Patel,27eacb3a27cb,https://feeds.megaphone.fm/recodedecode,Decoder with Nilay Patel,MATCHED,2,PENDING,True,True,Tech & Business,1011668648,100
Greatest Of All Talk (Stratechery Plus Edition),ff0313ad2431,https://goat.passport.online/feed/podcast/6EynvegSpNaDpnt4DJsHzD,Greatest Of All Talk (Stratechery Plus Edition),MATCHED,2,PENDING,True,True,Tech & Business,,100
Plain English with Derek Thompson,44271fd6a73d,https://feeds.megaphone.fm/plain-english,Plain English with Derek Thompson,MATCHED,20,PENDING,True,True,Tech & Business,1594471023,100
Practical AI,f4dc0dbd10e3,https://feeds.transistor.fm/practical-ai-machine-learning-data-science-llm,Practical AI,MATCHED,2,PENDING,True,True,Tech & Business,1406537385,100
Sharp Tech with Ben Thompson,837c954f7d0c,https://sharptech.fm/feed/podcast/MMs7xScDXhCnUAesQqB2Xa,Sharp Tech with Ben Thompson,MATCHED,1000,PENDING,True,True,Tech & Business,,100
Stratechery,ef4d6d9f33d0,https://rss.stratechery.passport.online/feed/podcast/MMs7xScDXhCnUAesQqB2Xa,Stratechery,MATCHED,1000,PENDING,True,True,Tech & Business,,100
The Trojan Horse Affair,9419ea057b02,https://feeds.simplecast.com/B9KgArY4,The Trojan Horse Affair,MATCHED,100,PENDING,True,True,Tech & Business,1606918193,100
The Vergecast,177eb409aafa,https://feeds.megaphone.fm/vergecast,The Vergecast,MATCHED,5,PENDING,True,True,Tech & Business,430333725,100
Planet Money,e3260450947e,https://feeds.npr.org/510289/podcast.xml,Planet Money,MATCHED,100,PENDING,True,True,Finance & Economics,290783428,100
Slate Money,11438e874809,https://feeds.megaphone.fm/slatemoney,Slate Money,MATCHED,5,PENDING,True,True,Finance & Economics,876523888,100
Slate Culture,3551b11a4749,https://feeds.megaphone.fm/slatesculturegabfest,Slate Culture,MATCHED,10,PENDING,True,True,Culture & Entertainment,279188498,100
The Prestige TV Podcast,1a534db8c003,https://feeds.megaphone.fm/tvconcierge,The Prestige TV Podcast,MATCHED,10,PENDING,True,True,Culture & Entertainment,1586390793,100
The Rewatchables,0b7e93efa394,https://feeds.megaphone.fm/the-rewatchables,The Rewatchables,MATCHED,100,PENDING,True,True,Culture & Entertainment,1268527882,100
